Type,Run,Event,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,M
GSF-GSF,142191,41148625,32.32051082,-2.103044497,30.15705957,11.43435094,30.2303,0.369758,1.64042,-1,128.4955488,1.51056927,-35.70956458,123.4246784,35.7415,1.9528,-1.52852,1,87.42806127
GSF-GSF,142191,112460925,27.08850198,13.3310333,7.201009211,-22.45475355,15.1516,-1.18474,0.495264,-1,38.32585446,20.70284205,-11.70935704,-30.05252749,23.7848,-1.05601,-0.514735,-1,18.5308822
GSF-GSF,142191,112460925,143.4456936,-87.85576355,-24.92242543,-110.6205431,91.3223,-1.0232,-2.86518,1,38.32585446,20.70284205,-11.70935704,-30.05252749,23.7848,-1.05601,-0.514735,-1,86.02662709
GSF-GSF,142191,112460925,143.4456936,-87.85576355,-24.92242543,-110.6205431,91.3223,-1.0232,-2.86518,1,27.08850198,13.3310333,7.201009211,-22.45475355,15.1516,-1.18474,0.495264,-1,74.19496816
GSF-GSF,142191,112460925,24.00197836,11.09322198,6.888525968,-20.13910626,13.058,-1.21799,0.555694,1,38.32585446,20.70284205,-11.70935704,-30.05252749,23.7848,-1.05601,-0.514735,-1,18.2024324
GSF-GSF,142191,112460925,24.00197836,11.09322198,6.888525968,-20.13910626,13.058,-1.21799,0.555694,1,27.08850198,13.3310333,7.201009211,-22.45475355,15.1516,-1.18474,0.495264,-1,0.970072474
GSF-GSF,142191,112460925,24.00197836,11.09322198,6.888525968,-20.13910626,13.058,-1.21799,0.555694,1,143.4456936,-87.85576355,-24.92242543,-110.6205431,91.3223,-1.0232,-2.86518,1,68.72355966
GSF-GSF,142191,25487594,6.410386628,1.236040628,-3.646443695,5.125300811,3.85024,1.09731,-1.24398,-1,73.99278179,-40.81481087,54.9074845,-28.18246115,68.4155,-0.40109,2.21002,1,41.69968214
GSF-GSF,142191,25487594,62.92656135,31.55780968,34.81143247,41.85714923,46.9865,0.802038,0.834382,-1,73.99278179,-40.81481087,54.9074845,-28.18246115,68.4155,-0.40109,2.21002,1,102.1015832
GSF-GSF,142191,25487594,62.92656135,31.55780968,34.81143247,41.85714923,46.9865,0.802038,0.834382,-1,6.410386628,1.236040628,-3.646443695,5.125300811,3.85024,1.09731,-1.24398,-1,23.52803861
